地图柱状图数据
日期,地区,happy,good,anger,sorrow,fear,evil,surprise,synthesize
20150301,长沙市,142,418,33,19,53,395,20,61.625
20150302,长沙市,711,2416,10,179,86,634,27,420.5843505859375
20150303,长沙市,1459,3630,0,169,144,409,0,1906.330078125
20150304,长沙市,637,2102,94,209,55,767,26,1713.5327758789062
20150305,长沙市,1326,3862,89,172,194,1545,33,195.482421875
20150306,长沙市,828,4832,82,179,291,1511,37,186.169677734375
20150307,长沙市,218,575,5,53,31,191,15,178.5625
20150308,长沙市,116,401,7,49,7,158,0,202.28125
20150309,长沙市,770,2243,14,117,163,403,31,704.14453125
20150310,长沙市,352,1457,17,108,72,275,18,94.11865234375
20150311,长沙市,814,3660,83,168,182,1333,89,158.76514434814453
20150312,长沙市,410,1571,35,207,128,703,32,54.45703125
20150313,长沙市,238,1011,5,57,81,428,10,1056.25
20150314,长沙市,154,834,27,168,6,300,0,674.75
20150315,长沙市,255,1059,5,59,40,527,9,779
20150316,长沙市,125,580,7,42,33,107,9,434.00390625
20150317,长沙市,260,1081,0,82,65,380,37,329.6561279296875
20150318,长沙市,544,2270,12,125,122,516,21,382.974609375
20150319,长沙市,562,2321,0,127,65,742,27,623.80517578125
20150320,长沙市,889,3674,20,238,141,827,43,263.4410400390625
20150321,长沙市,139,523,20,72,27,189,13,47.71875
20150322,长沙市,143,850,0,41,48,79,5,1060.75
20150323,长沙市,0,0,0,0,0,0,0,0
,
,
红网精帖,"X 15"
日期,地区,标题,作者,链接,回复数
20141103,,"老板出价二十万一棵买湘西古树  牛逼老村长：不卖",姐就是富婆,http://bbs.rednet.cn/thread-43618153-1-1.html,326
20150319,,卫计委发文杜绝护士没耐心，你怎么看？,艾伦是女生,http://bbs.rednet.cn/thread-43997685-1-1.html,300
20150318,,小区停车费是不用交的！你白交了多少钱,周末愉快,http://bbs.rednet.cn/thread-43993925-1-1.html,253
20150317,,如何锻炼口才，展现个人魅力？“中国十大魅力培训师”李真顺老师来教您,论坛嘉宾访谈,http://bbs.rednet.cn/thread-43990593-1-1.html,216
20150316,,【推广】有奖活动，泊美防尘隔离一扫即得，更有惊喜0元换购！,老子孔子一起曰,http://bbs.rednet.cn/thread-43987811-1-1.html,209
20150319,,"面对面 心贴心：邵阳龚文密市长与红网网民代表座谈",邵阳老酒,http://bbs.rednet.cn/thread-44001044-1-1.html,165
20150309,,让创意飞：2015中国“十大网络春晚”盘点——湖南首届网络春晚排第七,晴儿1889,http://bbs.rednet.cn/thread-43966783-1-1.html,159
20150320,,"第一现场——公共道德是城市人的生命线   请给消防车让道！",hzmt,http://bbs.rednet.cn/thread-44003493-1-1.html,157
20141103,,"“熊孩子”下电梯前把所有楼层都按亮 该不该抽？",爱吃奶油yoyo,http://bbs.rednet.cn/thread-43618006-1-1.html,140
20150321,,围观2015唯一一次日全食(动画+多图),@橘子洲,http://bbs.rednet.cn/thread-44004973-1-1.html,132
20150321,,邵东县委宣传部、县纪委邀请邵阳本土网络大咖进行座谈,府门口的狮子,http://bbs.rednet.cn/thread-44005761-1-1.html,122
20150318,,真相调查：小女孩误含插座上的手机充电器触电身亡？,对白,http://bbs.rednet.cn/thread-43995602-1-1.html,115
20150310,,警察哥哥热心开车送娭毑回家，为这位颜值高又善良的男人点赞（新闻跟进）,最爱妍希,http://bbs.rednet.cn/thread-43970582-1-1.html,95
20150321,,湖湘版大型策划“寻景记”：一条湖湘文脉在红网绵延，书写下三湘四水的情怀,水果粒,http://bbs.rednet.cn/thread-44006041-1-1.html,78
20141029,,告吃辣第一的湖南人：为什么爱吃辣？因为你们穷呗,馫靉嚻博,http://bbs.rednet.cn/thread-43601201-1-1.html,78
,
,
当天详情
日期,地区,happy,good,anger,sorrow,fear,evil,surprise,synthesize
20150322,长沙市,143,850,0,41,48,79,5,1060.75
,
,
日期,地区,热词,词频
20150322,长沙市,工作,50
20150322,长沙市,朱勇,25
20150322,长沙市,妈妈,24
20150322,长沙市,欧诗漫,22
20150322,长沙市,创业,21
20150322,长沙市,股票,20
20150322,长沙市,准备,17
20150322,长沙市,湘潭,11
20150322,长沙市,投资,10
20150322,长沙市,大学,10
20150322,长沙市,湖南,9
20150322,长沙市,生活,7
20150322,长沙市,开户,7
20150322,长沙市,媒体,6
20150322,长沙市,凯旋门,6
,
,
日期,地区,标题,作者,链接,回复数
20150322,长沙市,汪涵还是长沙消防的形象大使不？,陈恩帆,http://bbs.rednet.cn/thread-44007495-1-1.html,6
20150322,长沙市,"为什么 网民为高山旗手鸣不平的帖子一律被锁？New",见帖你就跳,http://bbs.rednet.cn/thread-44008374-1-1.html,0
20150322,长沙市,"2015 “抢”字当头",千亿星球,http://bbs.rednet.cn/thread-44008326-1-1.html,0
20150322,长沙市,TFboys录《快乐大本营》近千粉丝包围湖南卫视New,skyhdm,http://bbs.rednet.cn/thread-44008198-1-1.html,0
20150322,长沙市,"老股民藏有湖南首批法人股票证 欲建股票博物馆New",skyhdm,http://bbs.rednet.cn/thread-44008168-1-1.html,0
20150322,长沙市,岳塘区委常委、宣传部长薛峰到访长沙南广信息技术有限责任公司指导工作New,hizhoupan,http://bbs.rednet.cn/thread-44007927-1-1.html,0
